amfi_code,scheme_name,risk_grade,var_95_daily_pct,cvar_95_daily_pct,var_95_annual_pct,cvar_95_annual_pct,num_obs,mean_daily_ret_pct,std_daily_ret_pct,var_rank,cvar_rank
120504,ICICI Pru Bluechip Fund - Direct - Growth,Moderate,-1.3728,-1.7494,-21.7928,-27.7711,1149,0.0843,0.9048,25,24
148567,Mirae Asset Large Cap Fund - Regular - Growth,Moderate,-1.356,-1.7623,-21.5255,-27.9755,1149,0.1074,0.8941,26,22
120503,ICICI Pru Bluechip Fund - Regular - Growth,Moderate,-1.355,-1.7451,-21.51,-27.7019,1149,0.0698,0.8746,27,26
119552,SBI Bluechip Fund - Direct Plan - Growth,Moderate,-1.3501,-1.7336,-21.4321,-27.5196,1149,0.0785,0.8781,28,28
118633,Nippon India Large Cap Fund - Direct - Growth,Moderate,-1.3443,-1.663,-21.3393,-26.3996,1149,0.0616,0.8817,29,30
101206,ABSL Frontline Equity Fund - Regular - Growth,Moderate,-1.3282,-1.7439,-21.084,-27.6842,1149,0.0852,0.9177,30,27
120841,Kotak Bluechip Fund - Regular - Growth,Moderate,-1.3142,-1.6363,-20.8619,-25.975,1149,0.0522,0.8481,31,32
119551,SBI Bluechip Fund - Regular Plan - Growth,Moderate,-1.2846,-1.6397,-20.3928,-26.0291,1149,0.0917,0.8656,32,31
102885,UTI Nifty 50 Index Fund - Regular - Growth,Moderate,-1.2613,-1.549,-20.0219,-24.5903,1149,0.0674,0.8086,33,34
118635,Nippon India ETF Nifty 50 BeES,Moderate,-1.2554,-1.6177,-19.9284,-25.6801,1149,0.06,0.8179,34,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Low,-0.3938,-0.5014,-6.2518,-7.959,1149,0.0222,0.2499,35,35
118636,Nippon India Gilt Securities Fund - Regular - Growth,Low,-0.3804,-0.4919,-6.0389,-7.8085,1149,0.0202,0.2511,36,37
100025,HDFC Short Term Debt Fund - Regular - Growth,Low,-0.3793,-0.4994,-6.0216,-7.9274,1149,0.017,0.246,37,36
120844,Kotak Liquid Fund - Regular - Growth,Low,-0.0285,-0.0411,-0.4521,-0.6524,1149,0.0256,0.0323,38,39
101208,ABSL Liquid Fund - Regular - Growth,Low,-0.0269,-0.0422,-0.4265,-0.67,1149,0.0242,0.0319,39,38
120507,ICICI Pru Liquid Fund - Regular - Growth,Low,-0.0222,-0.0373,-0.3517,-0.5915,1149,0.0268,0.0311,40,40
