overall_rank,amfi_code,scheme_name,fund_house,sub_category,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio_calc,sortino_ratio_calc,alpha_annualised,beta,max_dd_pct,peak_date,trough_date,score_3yr,score_sharpe,score_alpha,score_expense,score_mdd,composite_score
16,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,0.89,22.5102,20.0032,15.9572,0.664856998549062,1.1379767187807421,15.1364,-0.0014,-11.6506,2022-01-03,2022-06-09,58.97,53.85,43.59,69.23,76.92,57.95
17,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,0.72,25.5595,21.0847,16.2742,0.6452074382933216,1.154475716923624,15.6438,-0.0366,-18.6297,2023-10-30,2024-02-29,64.1,48.72,46.15,88.46,35.9,57.5
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,1.57,20.2229,19.6624,18.2324,0.8170993373494371,1.4357420130649496,17.0488,-0.0195,-10.8599,2022-02-03,2022-03-29,56.41,61.54,53.85,15.38,84.62,53.85
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,1.42,8.4951,13.975,18.7853,0.7979728586052847,1.3379431500669237,17.7033,-0.0403,-13.8979,2023-09-19,2023-11-09,38.46,58.97,58.97,51.28,66.67,52.43
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,1.52,14.2798,14.7444,22.5169,0.9262873467360146,1.6327409778735162,20.873,-0.0264,-15.2726,2023-09-05,2024-01-24,41.03,64.1,66.67,34.62,53.85,52.25
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,1.41,41.853,18.4174,17.0849,0.6488787755249532,1.0958951614736467,16.2539,0.0419,-19.8257,2023-03-31,2023-08-14,51.28,51.28,51.28,53.85,33.33,49.87
22,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,0.74,7.4303,7.3925,7.2375,0.49572339295331147,1.0521238822609271,6.7462,-0.0004,-0.0977,2025-10-16,2025-10-20,28.21,43.59,23.08,84.62,100.0,46.67
23,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,0.75,19.7815,20.8116,7.8976,0.1296144979566933,0.2210868397927636,8.2328,0.0259,-21.7514,2022-02-24,2023-05-22,61.54,28.21,30.77,82.05,23.08,46.28
24,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,1.64,13.593,25.5497,16.8411,0.6195175900829829,1.0887552508030016,16.2113,0.0167,-21.5398,2022-01-03,2022-07-04,69.23,46.15,48.72,1.28,25.64,44.81
25,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,1.54,18.1246,18.0397,13.3933,0.4640374492204777,0.7621288703723165,13.1732,-0.0041,-14.8446,2022-01-03,2022-02-04,48.72,38.46,41.03,24.36,61.54,42.24
26,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.78,15.4551,11.2425,11.3018,0.3006119210425479,0.5088128197169232,11.9891,0.0091,-21.1173,2025-04-04,2025-09-12,35.9,33.33,35.9,76.92,28.21,40.64
27,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,0.6,7.1254,6.6944,6.9153,-0.08874729621557495,-0.18772304774242665,6.4557,-0.0004,-0.1163,2024-04-12,2024-04-30,25.64,15.38,20.51,94.87,97.44,39.61
28,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,1.59,16.8496,17.263,13.5322,0.4942725378672354,0.8625738849916588,13.0429,0.0364,-17.5736,2024-01-09,2025-02-14,46.15,41.03,38.46,12.82,41.03,37.82
29,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,1.53,15.8229,8.006,16.3735,0.44843400890899143,0.7460146308533573,17.5007,0.1035,-23.3449,2025-04-09,2026-02-20,33.33,35.9,56.41,29.49,20.51,36.73
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,0.55,10.4625,4.0613,5.3169,-0.3566295075143679,-0.6135251287271025,5.0748,0.0013,-8.3164,2023-02-09,2024-02-09,17.95,5.13,12.82,100.0,87.18,32.95
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,0.77,5.5259,5.839,5.8894,-0.2265753866279158,-0.3767670081706669,5.6209,-0.0064,-4.3287,2024-09-16,2025-04-01,20.51,7.69,15.38,79.49,89.74,32.05
32,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,0.79,7.2418,6.3143,6.509,-0.8155673679088286,-1.6810378667512855,6.0861,0.0003,-0.1622,2023-09-05,2023-09-12,23.08,0.0,17.95,74.36,94.87,31.16
33,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,0.56,3.7076,3.9155,4.4582,-0.5670947928476847,-0.9418212366054207,4.2818,0.0012,-4.3083,2023-05-23,2023-07-28,15.38,2.56,5.13,97.44,92.31,30.13
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,1.56,22.519,7.7542,6.7015,0.07599984804658912,0.12469346986475656,7.8044,0.0181,-24.0035,2023-11-09,2024-10-17,30.77,25.64,28.21,17.95,17.95,25.77
35,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,0.72,13.958,-1.3371,2.0545,-0.05718662582818005,-0.09438726129459621,4.8824,0.062,-52.5742,2023-01-17,2025-10-28,5.13,20.51,10.26,88.46,0.0,21.99
36,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,1.64,1.6102,0.5258,6.368,0.030784850954585913,0.05257398559304798,6.8995,0.0097,-14.4016,2023-10-12,2025-02-07,10.26,23.08,25.64,1.28,64.1,20.58
37,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,1.53,-24.0003,-4.1515,7.9388,0.16266076928646758,0.2766437962609231,10.8971,-0.0653,-35.4469,2024-11-21,2026-05-11,2.56,30.77,33.33,29.49,5.13,20.06
38,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,1.38,-42.8195,-11.7033,1.5215,-0.07597357117478937,-0.12818559275851954,4.8016,-0.067,-51.6778,2025-05-22,2026-05-11,0.0,17.95,7.69,58.97,2.56,15.13
39,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,1.55,-2.2258,1.2924,2.6371,-0.20151706755966933,-0.3510474601523089,3.7476,-0.0583,-24.7344,2022-03-30,2022-09-15,12.82,12.82,2.56,20.51,15.38,12.18
40,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,1.51,-16.808,-0.7672,1.1717,-0.20583160785470306,-0.3472223025472726,2.8969,-0.0421,-28.0011,2025-01-07,2026-04-27,7.69,10.26,0.0,39.74,12.82,12.12
